train_loss,test_loss
4.8467276032765705,5.405442275499043
6.4607029628753665,6.256294526551899
6.263468271891276,6.559022100348222
6.034776139259338,5.067199129807322
7.020742117563883,5.958383522535625
6.366573768456777,8.10780688336021
6.614095503489176,6.148188653745149
6.540474494298299,7.996536468204699
7.355875126520792,7.381598221628289
6.138923298865556,7.488096588536313
6.296520228385925,7.256904627147474
6.426144903500875,8.562310683099847
6.61315979162852,7.272417300625851
7.044576373100281,9.15785611303229
6.434990654786428,7.558881245161357
6.752173475225766,8.329411155299136
6.756584150791168,7.867884962182296
6.54048090616862,6.9495049401333455
6.582403380076091,7.561894228583888
6.483129858970642,8.924491129423442
6.687375675837199,9.146906651948628
6.470208237965902,9.767336368560791
5.860926235516866,8.386519720679836
6.318251829942067,8.391635091681229
6.626137133439382,8.391189920274835
6.166520134607951,7.917503256546824
6.585125700632731,8.304195943631624
5.712487845420838,10.534469930749191
6.429533158143362,8.178191009320711
5.952908503214518,9.382882444482101
6.471212282578151,8.537700000562166
6.192831018765768,11.174590587615967
6.072674943606059,9.43968919703835
6.4873244110743205,7.874457058153655
5.935974146525065,9.148625825580798
6.083211596806844,10.458436589491996
5.655349090099334,8.02005087701898
5.377157001495362,7.792088985443115
6.251284370422363,9.083568924351743
5.765233577092489,8.93349313735962
5.005261292457581,9.124234312459043
5.971354490915934,8.030854200061999
5.702622810204824,9.323915180407072
5.4790918485323585,9.277400744588752
6.902007811069488,9.272342681884766
5.574508530298869,8.412986956144634
5.9161372756958,9.78679895401001
5.456208810806275,8.678074159120259
5.554750162760417,8.214603361330534
5.962920279502868,9.073990721451608
